ARGO Ocean Data Export
Generated: 2025-10-08T23:18:25.178297
Total Records: 50
Columns: latitude, longitude, temperature, salinity, pressure, platform_number, date
================================================================================

  latitude  longitude  temperature  salinity    pressure platform_number       date
-39.290481 107.992972    25.784062 35.304261  149.888616     ARGO_000000 2023-01-01
-21.941570  70.527996    15.136716 35.129984  130.956483     ARGO_000001 2023-01-02
-16.415800  46.605078    16.701967 33.502506  955.065578     ARGO_000002 2023-01-03
 -6.109312  58.112679    19.281644 36.480354  595.658573     ARGO_000003 2023-01-04
  3.503029 110.950618    16.801993 34.502088  790.368708     ARGO_000004 2023-01-05
-11.580929  70.177568    28.614893 36.503102 1426.448269     ARGO_000005 2023-01-06
-28.418801  63.183769    27.631144 35.651984  853.776456     ARGO_000006 2023-01-07
-28.624000  84.833557    26.789283 33.272674 1451.538691     ARGO_000007 2023-01-08
-29.720198  71.275748    25.622527 34.284389 1861.670626     ARGO_000008 2023-01-09
-18.626501 108.469160    19.054021 35.471726 1960.106469     ARGO_000009 2023-01-10
-10.871796  45.204250    17.420743 35.229419  240.273665     ARGO_000010 2023-01-11
 12.553170  74.590684    22.390379 35.148433 1918.660779     ARGO_000011 2023-01-12
 -9.992175  63.925775    16.971289 36.489349  854.277626     ARGO_000012 2023-01-13
-17.236252  88.484050    15.720667 36.467334  326.005643     ARGO_000013 2023-01-14
-18.547448  59.146171    27.393498 35.663343 1248.971186     ARGO_000014 2023-01-15
 -5.522925  79.181037    19.513107 36.981160  680.201525     ARGO_000015 2023-01-16
-22.001673  46.502026    21.529172 33.139341 1900.520559     ARGO_000016 2023-01-17
-21.388224  43.095775    27.047432 35.911991 1715.110881     ARGO_000017 2023-01-18
 11.230766  94.333138    17.030673 33.180179 1155.518366     ARGO_000018 2023-01-19
 -4.054261  91.779220    18.930246 34.324131 1894.599409     ARGO_000019 2023-01-20
-16.837035  44.561932    16.714326 33.179086 1702.991856     ARGO_000020 2023-01-21
-32.660396  57.339206    29.940155 33.752286  823.599527     ARGO_000021 2023-01-22
-16.839639  77.754287    15.314484 34.022154  491.733471     ARGO_000022 2023-01-23
 -5.895449 111.221197    22.869560 33.894663  258.536576     ARGO_000023 2023-01-24
  2.342522  73.875381    19.555002 35.455127 1508.827577     ARGO_000024 2023-01-25
 24.905867  81.616244    27.265825 36.859807 1755.041659     ARGO_000025 2023-01-26
 -8.167481  44.641733    23.437022 34.855363  338.991028     ARGO_000026 2023-01-27
 10.753825  51.184750    15.916970 35.685417 1060.339428     ARGO_000027 2023-01-28
  4.014888  81.528156    29.733750 34.083105 1935.869238     ARGO_000028 2023-01-29
-27.812003  88.776345    16.969382 33.469953 1382.421107     ARGO_000029 2023-01-30
 -4.349600 117.741910    18.004913 36.913204 1954.417914     ARGO_000030 2023-01-31
 22.108634  81.795107    25.829078 36.955061  353.134941     ARGO_000031 2023-02-01
 -0.535111 108.811161    19.471061 33.728669  459.030430     ARGO_000032 2023-02-02
 -8.831952 102.419033    18.158444 36.265487  219.418257     ARGO_000033 2023-02-03
 16.375034  94.264161    20.760506 36.856167  354.897758     ARGO_000034 2023-02-04
 -3.816338  63.654487    27.807701 35.147708 1157.529748     ARGO_000035 2023-02-05
-17.339557 110.751170    16.316434 33.365330  331.111032     ARGO_000036 2023-02-06
-17.658712  52.560840    19.871711 34.513499 1830.723845     ARGO_000037 2023-02-07
-26.286648  90.629440    24.280080 36.284787  624.276262     ARGO_000038 2023-02-08
  9.494782  57.135300    21.194644 33.883796 1176.835410     ARGO_000039 2023-02-09
-25.262408  58.901846    17.223388 33.658711  113.968800     ARGO_000040 2023-02-10
 10.367214 103.732103    28.923046 36.285616 1870.710628     ARGO_000041 2023-02-11
 20.703424  79.125461    20.165437 36.966547  972.233393     ARGO_000042 2023-02-12
-14.391181  88.451743    16.088450 35.364926 1188.888645     ARGO_000043 2023-02-13
  7.656377  49.823334    23.339827 33.928632  543.918979     ARGO_000044 2023-02-14
 -0.607044  49.228900    26.623454 34.445638 1591.133319     ARGO_000045 2023-02-15
 14.133900 109.419470    16.935640 34.308197  718.936094     ARGO_000046 2023-02-16
-10.231299  68.640494    15.309561 36.824728 1125.305922     ARGO_000047 2023-02-17
  6.140458  70.227605    21.010449 36.673539 1061.851115     ARGO_000048 2023-02-18
-33.145400  86.967733    27.071762 36.690932  889.701061     ARGO_000049 2023-02-19
