ARGO Ocean Data Export
Generated: 2025-10-06T18:59:34.475534
Total Records: 50
Columns: latitude, longitude, temperature, salinity, pressure, platform_number, date
================================================================================

  latitude  longitude  temperature  salinity    pressure platform_number       date
-12.921701  69.581194    20.620453 36.464891 1538.095505     ARGO_000000 2023-01-01
-26.441745 100.644189    15.528139 36.430348 1861.025616     ARGO_000001 2023-01-02
 13.064593  41.906281    15.890571 36.312587 1584.694955     ARGO_000002 2023-01-03
  8.834787  59.105709    18.030595 36.287332  246.114332     ARGO_000003 2023-01-04
  6.456317  86.162431    18.272040 35.793330  351.517810     ARGO_000004 2023-01-05
-20.987284 100.231118    16.775631 34.624663  600.563243     ARGO_000005 2023-01-06
 14.699885  42.603136    26.623109 35.039842  565.251427     ARGO_000006 2023-01-07
 -9.371261  70.369733    21.290509 36.172312 1514.029919     ARGO_000007 2023-01-08
-31.225978  58.921668    17.484510 35.961857  508.038467     ARGO_000008 2023-01-09
 12.638422 116.689317    19.659186 35.594302  544.748541     ARGO_000009 2023-01-10
-14.047150 103.418119    16.306774 36.912847 1142.403540     ARGO_000010 2023-01-11
-24.082728  41.489655    21.108385 36.251253 1902.561980     ARGO_000011 2023-01-12
 17.603846 110.874074    27.980442 34.175543  687.343056     ARGO_000012 2023-01-13
-38.626472  42.059037    18.433026 34.485422  486.368902     ARGO_000013 2023-01-14
  8.927109  74.406240    19.734765 36.945117 1912.055183     ARGO_000014 2023-01-15
 -9.989178  44.377364    17.719680 36.779119  820.148319     ARGO_000015 2023-01-16
 -8.481254  61.077491    28.254975 33.375717 1977.179736     ARGO_000016 2023-01-17
  5.599800  48.881570    21.282651 35.465539 1572.908686     ARGO_000017 2023-01-18
  4.478858  94.807028    17.185516 34.914009 1277.174287     ARGO_000018 2023-01-19
-29.861404  83.950965    24.338893 34.815555  939.273043     ARGO_000019 2023-01-20
-36.590490  53.107742    16.060100 36.946363  310.009299     ARGO_000020 2023-01-21
-38.399571  50.332063    15.079414 33.885880 1940.209180     ARGO_000021 2023-01-22
 10.996893  44.780931    15.588816 35.756932 1062.493425     ARGO_000022 2023-01-23
-12.367096 117.692995    22.079214 36.062176 1289.431006     ARGO_000023 2023-01-24
-30.255532  66.670162    18.155602 35.685659 1259.518618     ARGO_000024 2023-01-25
-17.020315 108.933494    21.325797 34.733460  472.614196     ARGO_000025 2023-01-26
-15.687446  72.994432    19.718008 34.132072 1425.237113     ARGO_000026 2023-01-27
 -2.763271  67.835291    21.396909 36.888268 1257.152509     ARGO_000027 2023-01-28
-35.325741  67.255448    27.501724 35.626783 1461.618310     ARGO_000028 2023-01-29
-21.317145  86.809284    19.537986 34.677130 1199.149127     ARGO_000029 2023-01-30
-21.648938  80.069874    22.274146 35.602684    9.926467     ARGO_000030 2023-01-31
 17.886087  51.399259    27.677888 35.064493 1438.050299     ARGO_000031 2023-02-01
-22.182751  59.453870    28.768798 35.913893 1637.280153     ARGO_000032 2023-02-02
-14.657371  94.377213    28.098461 35.744281 1610.714588     ARGO_000033 2023-02-03
 17.141684  89.661198    19.585485 36.789568  486.709274     ARGO_000034 2023-02-04
-18.114374  42.431022    17.122360 36.927976 1981.451236     ARGO_000035 2023-02-05
-37.053882 117.829936    29.342282 36.737792  829.190806     ARGO_000036 2023-02-06
-10.341856  85.206442    19.796573 34.863668 1791.283375     ARGO_000037 2023-02-07
  5.917746  44.240174    28.513657 33.188491 1109.103949     ARGO_000038 2023-02-08
-39.225510  83.169418    15.298262 33.651723  747.934896     ARGO_000039 2023-02-09
 -1.448251  96.817945    25.177699 35.739426  570.294086     ARGO_000040 2023-02-10
 20.764458 115.407341    18.431857 35.877030  366.495375     ARGO_000041 2023-02-11
-21.641407 100.603506    25.660072 34.875819 1140.496046     ARGO_000042 2023-02-12
-39.792122  41.990301    24.335354 35.398345  789.352538     ARGO_000043 2023-02-13
-14.889960  96.146434    27.286738 33.742567  338.266406     ARGO_000044 2023-02-14
-12.646639  96.344481    19.258427 35.323977  567.033426     ARGO_000045 2023-02-15
 23.885586  79.934422    25.835831 33.414733  717.658052     ARGO_000046 2023-02-16
 13.332418  96.430677    20.322344 33.577182  909.513911     ARGO_000047 2023-02-17
-31.402947  82.373613    20.282102 33.559819 1527.284246     ARGO_000048 2023-02-18
 15.999969  44.236204    20.715334 34.853655  263.475106     ARGO_000049 2023-02-19
